version,name,bytes,drift_class
20260830071000,sourceenergy_one_genesis_4p_boundary_v2,4967,A (absent from repo)
20260830071306,sourceenergy_one_genesis_content_integrity_v3,6545,A (absent from repo)
20260830071348,sourceenergy_one_genesis_content_integrity_digest_fix_v4,5013,A (absent from repo)
20260830072209,sourceenergy_one_living_purpose_journal_v1,3298,A (absent from repo)
20260830072445,sourceenergy_one_living_purpose_journal_service_v2,8735,A (absent from repo)
20260830072653,sourceenergy_one_genesis_evolution_nomination_v1,7414,A (absent from repo)
20260830073628,sourceenergy_one_seci_knowledge_cycle_v1,4967,A (absent from repo)
20260830073643,sourceenergy_one_seci_service_boundary_v2,5452,A (absent from repo)
20260830074100,sourceenergy_one_seci_codex24_4p_bridge_v1,6969,A (absent from repo)
20260830075110,sourceenergy_one_spirit_gate_v1,6033,A (absent from repo)
20260830075610,sourceenergy_one_spirit_gate_enforcement_v2,8717,A (absent from repo)
20260830075949,sourceenergy_one_typed_evidence_provenance_v1,9895,A (absent from repo)
20260830080337,sourceenergy_one_external_evidence_intake_envelope_v1,9233,A (absent from repo)
20260830080626,sourceenergy_one_4p_genesis_typed_evidence_gate_v1,5829,A (absent from repo)
20260830081040,sourceenergy_one_atomic_genesis_supersession_v1,5606,A (absent from repo)
20260830082645,sourceenergy_one_spirit_gate_substantive_v3,7519,A (absent from repo)
20260830083126,sourceenergy_one_spirit_gate_v3_revision_semantics,4555,A (absent from repo)
20260830083749,sourceenergy_one_audit_ledger_immutability_v1,4696,A (absent from repo)
20260830083806,sourceenergy_one_audit_chain_backfill_fix_v2,1676,A (absent from repo)
20260830084353,sourceenergy_one_actor_consent_integrity_v1,10595,A (absent from repo)
20260830084823,sourceenergy_one_model_provenance_integrity_v1,8929,A (absent from repo)
20260830085317,sourceenergy_one_reflection_confirmation_bypass_fix_v1,3395,A (absent from repo)
20260830094411,create_setc_oel_core_schema,12107,A (absent from repo)
20260830094536,create_oel_policy_and_command_layer,15344,A (absent from repo)
20260830095012,create_oel_sidekick_adapter_contract_v2,9217,A (absent from repo)
20260830100915,create_oel_trusted_adapter_dispatcher,10722,A (absent from repo)
20260830174622,vzc_e01_domain_foundation_sourcecube_bindings_v1,6795,A (absent from repo)
20260830174700,vzc_e01_sourcecube_binding_integrity_v2,951,A (absent from repo)
20260830174930,vzc_e02_safety_event_observation_contract_v1,4677,A (absent from repo)
20260830181134,vzc_e02_event_class_integrity_v2,738,A (absent from repo)
20260830181917,vzc_e03_predictive_risk_governance_v1,5745,A (absent from repo)
20260830182219,vzc_e04_connected_infrastructure_control_boundary_v1,6282,A (absent from repo)
20260830182515,vzc_e05_multimodal_safety_adapters_v1,6092,A (absent from repo)
20260830182621,vzc_e05_service_role_policies_v2,612,A (absent from repo)
20260830183040,vzc_e06_emergency_health_coordination_v1,6868,A (absent from repo)
20260830183710,vzc_e07_government_municipal_evidence_controls_v1,8974,A (absent from repo)
20260830184039,vzc_e08_research_technology_validation_v1,9647,A (absent from repo)
20260830184446,vzc_e09_pilot_outcome_measurement_v1,7464,A (absent from repo)
20260830192814,vzc_e10_acceptance_hardening_v1,6552,A (absent from repo)
20260901023624,add_sourceenergy_command_feed_snapshot,6701,A (absent from repo)
20260901074723,sourcecube_genesis_rls_security_hardening_v1,1386,A (absent from repo)
20260901080209,sourcecube_assignment_control_plane_v1,9213,A (absent from repo)
20260901080749,sourcecube_rls_phase_2_authority_separation,8545,A (absent from repo)
20260901080958,sourcecube_governance_bootstrap_control,4443,A (absent from repo)
20260901223221,treasury_resource_catalog_sourcecube_alignment,8055,A (absent from repo)
